2024-12-12 05:26:02 - Vendor 1 added ticket: 31 | TicketPool size: 31
2024-12-12 05:26:02 - Customer 10 bought ticket: 1 | TicketPool size: 30
2024-12-12 05:26:02 - Customer 9 bought ticket: 2 | TicketPool size: 29
2024-12-12 05:26:02 - Customer 8 bought ticket: 3 | TicketPool size: 28
2024-12-12 05:26:02 - Customer 7 bought ticket: 4 | TicketPool size: 27
2024-12-12 05:26:02 - Customer 6 bought ticket: 5 | TicketPool size: 26
2024-12-12 05:26:02 - Customer 5 bought ticket: 6 | TicketPool size: 25
2024-12-12 05:26:02 - Customer 2 bought ticket: 7 | TicketPool size: 24
2024-12-12 05:26:02 - Customer 3 bought ticket: 8 | TicketPool size: 23
2024-12-12 05:26:02 - Customer 4 bought ticket: 9 | TicketPool size: 22
2024-12-12 05:26:02 - Customer 1 bought ticket: 10 | TicketPool size: 21
2024-12-12 05:26:02 - Vendor 4 added ticket: 331 | TicketPool size: 22
2024-12-12 05:26:02 - Vendor 3 added ticket: 231 | TicketPool size: 23
2024-12-12 05:26:02 - Vendor 2 added ticket: 131 | TicketPool size: 24
2024-12-12 05:26:04 - Vendor 1 added ticket: 32 | TicketPool size: 25
2024-12-12 05:26:04 - Vendor 4 added ticket: 332 | TicketPool size: 26
2024-12-12 05:26:04 - Vendor 3 added ticket: 232 | TicketPool size: 27
2024-12-12 05:26:04 - Vendor 2 added ticket: 132 | TicketPool size: 28
2024-12-12 05:26:05 - Customer 8 bought ticket: 11 | TicketPool size: 27
2024-12-12 05:26:05 - Customer 5 bought ticket: 12 | TicketPool size: 26
2024-12-12 05:26:05 - Customer 6 bought ticket: 13 | TicketPool size: 25
2024-12-12 05:26:05 - Customer 7 bought ticket: 14 | TicketPool size: 24
2024-12-12 05:26:05 - Customer 9 bought ticket: 15 | TicketPool size: 23
2024-12-12 05:26:05 - Customer 10 bought ticket: 16 | TicketPool size: 22
2024-12-12 05:26:05 - Customer 1 bought ticket: 17 | TicketPool size: 21
2024-12-12 05:26:05 - Customer 2 bought ticket: 18 | TicketPool size: 20
2024-12-12 05:26:05 - Customer 3 bought ticket: 19 | TicketPool size: 19
2024-12-12 05:26:05 - Customer 4 bought ticket: 20 | TicketPool size: 18
2024-12-12 05:26:06 - Vendor 1 added ticket: 33 | TicketPool size: 19
2024-12-12 05:26:06 - Vendor 4 added ticket: 333 | TicketPool size: 20
2024-12-12 05:26:06 - Vendor 2 added ticket: 133 | TicketPool size: 21
2024-12-12 05:26:06 - Vendor 3 added ticket: 233 | TicketPool size: 22
2024-12-12 05:26:08 - Customer 5 bought ticket: 21 | TicketPool size: 21
2024-12-12 05:26:08 - Customer 7 bought ticket: 22 | TicketPool size: 20
2024-12-12 05:26:08 - Customer 9 bought ticket: 23 | TicketPool size: 19
2024-12-12 05:26:08 - Customer 8 bought ticket: 24 | TicketPool size: 18
2024-12-12 05:26:08 - Customer 6 bought ticket: 25 | TicketPool size: 17
2024-12-12 05:26:08 - Customer 2 bought ticket: 26 | TicketPool size: 16
2024-12-12 05:26:08 - Customer 1 bought ticket: 27 | TicketPool size: 15
2024-12-12 05:26:08 - Customer 10 bought ticket: 28 | TicketPool size: 14
2024-12-12 05:26:08 - Customer 4 bought ticket: 29 | TicketPool size: 13
2024-12-12 05:26:08 - Customer 3 bought ticket: 30 | TicketPool size: 12
